Name,Party
つるみ けんご,せたがやの風
上川 あや,レインボー世田谷
いたい ひとし,公明党世田谷区議団
岡本 のぶ子,公明党世田谷区議団
河村 みどり,公明党世田谷区議団
佐藤 ひろと,公明党世田谷区議団
高橋 昭彦,公明党世田谷区議団
津上 仁志,公明党世田谷区議団
平塚 けいじ,公明党世田谷区議団
福田 たえ美,公明党世田谷区議団
神尾 りさ,国際都市せたがや
石原 せいじ,国民民主党・都民ファーストの会
佐藤 美樹,国民民主党・都民ファーストの会
そのべ せいや,国民民主党・都民ファーストの会
岡川 大記,参政党
阿久津 皇,自由民主党世田谷区議団
石川 ナオミ,自由民主党世田谷区議団
おぎの けんじ,自由民主党世田谷区議団
加藤 たいき,自由民主党世田谷区議団
くろだ あいこ,自由民主党世田谷区議団
河野 俊弘,自由民主党世田谷区議団
坂口 賢一,自由民主党世田谷区議団
佐藤 正幸,自由民主党世田谷区議団
宍戸 三郎,自由民主党世田谷区議団
下山 芳男,自由民主党世田谷区議団
畠山 晋一,自由民主党世田谷区議団
真鍋 よしゆき,自由民主党世田谷区議団
山口 ひろひさ,自由民主党世田谷区議団
和田 ひでとし,自由民主党世田谷区議団
ひうち 優子,世田谷無所属
おの みずき,生活者ネットワーク世田谷区議団
関口 江利子,生活者ネットワーク世田谷区議団
若林 りさ,日本維新の会
川上 こういち,日本共産党世田谷区議団
坂本 みえこ,日本共産党世田谷区議団
たかじょう 訓子,日本共産党世田谷区議団
中里 光夫,日本共産党世田谷区議団
大庭 正明,無所属・世田谷行革110番
田中 優子,無所属・世田谷行革110番
ひえしま 進,無所属・世田谷行革110番
桃野 芳文,無所属・世田谷行革110番
青空 こうじ,無所属
オルズグル,立憲民主党・無所属・愛世田谷区議団
桜井 純子,立憲民主党・無所属・愛世田谷区議団
中塚 さちよ,立憲民主党・無所属・愛世田谷区議団
中山 みずほ,立憲民主党・無所属・愛世田谷区議団
羽田 圭二,立憲民主党・無所属・愛世田谷区議団
原田 竜馬,立憲民主党・無所属・愛世田谷区議団
藤井 まな,立憲民主党・無所属・愛世田谷区議団
みや かおり,立憲民主党・無所属・愛世田谷区議団
